date,steps
2023-06-10,2768
2023-06-11,2592
2023-06-12,4697
2023-06-13,6446
2023-06-14,13583
2023-06-15,2434
2023-06-16,3126
2023-06-17,2940
2023-06-18,3584
2023-06-19,1058
2023-06-20,1871
2023-06-21,3919
2023-06-22,6493
2023-06-23,11597
2023-06-24,3478
2023-06-25,3628
2023-06-26,2913
2023-06-27,1955
2023-06-28,857
2023-06-29,916
2023-06-30,1457
2023-07-01,10876
2023-07-02,12166
2023-07-03,13159
2023-07-04,12081
2023-07-05,6690
2023-07-06,6228
2023-07-07,1345
2023-07-08,711
2023-07-09,413
2023-07-10,2275
2023-07-11,4124
2023-07-12,2055
2023-07-13,2249
2023-07-14,1744
2023-07-15,2248
2023-07-16,1417
2023-07-17,2441
2023-07-18,3087
2023-07-19,3349
2023-07-20,1470
2023-07-21,2099
2023-07-22,1061
2023-07-23,1289
2023-07-24,2258
2023-07-25,954
2023-07-26,4403
2023-07-27,3319
2023-07-28,3338
2023-07-29,800
2023-07-30,1623
2023-07-31,595
2023-08-01,1067
2023-08-02,4911
2023-08-03,5793
2023-08-04,3062
2023-08-05,5483
2023-08-06,2171
2023-08-07,1980
2023-08-08,2312
2023-08-09,991
2023-08-10,2360
2023-08-11,961
2023-08-12,939
2023-08-13,1211
2023-08-14,369
2023-08-15,2236
2023-08-16,1333
2023-08-17,1314
2023-08-18,1348
2023-08-19,2610
2023-08-20,1420
2023-08-21,1717
2023-08-22,5116
2023-08-23,5291
2023-08-24,4656
2023-08-25,6502
2023-08-26,4579
2023-08-27,5254
2023-08-28,3383
2023-08-29,4103
2023-08-30,4505
2023-08-31,3669
2023-09-01,1837
2023-09-02,3310
2023-09-03,4716
2023-09-04,6629
2023-09-05,4239
2023-09-06,8670
2023-09-07,1811
2023-09-08,2525
2023-09-09,12290
2023-09-10,6213
2023-09-11,5521
2023-09-12,13704
2023-09-13,9869
2023-09-14,5737
2023-09-15,9869
2023-09-16,5217
2023-09-17,17182
2023-09-18,2823
2023-09-19,3880
2023-09-20,7378
2023-09-21,7271
2023-09-22,5274
2023-09-23,7782
2023-09-24,3439
2023-09-25,5228
2023-09-26,3522
2023-09-27,5095
2023-09-28,4835
2023-09-29,1345
2023-09-30,6093
2023-10-01,2835
2023-10-02,7529
2023-10-03,7009
2023-10-04,5588
2023-10-05,6759
2023-10-06,7642
2023-10-07,3026
2023-10-08,1997
2023-10-09,1954
2023-10-10,3006
2023-10-11,1110
2023-10-12,2928
2023-10-13,5586
2023-10-14,4124
2023-10-15,7567
2023-10-16,1456
2023-10-17,7211
2023-10-18,3431
2023-10-19,4974
2023-10-20,7586
2023-10-21,6372
2023-10-22,5591
2023-10-23,7208
2023-10-24,2746
2023-10-25,7131
2023-10-26,7315
2023-10-27,9313
2023-10-28,6442
2023-10-29,5815
2023-10-30,3831
2023-10-31,1141
2023-11-01,7293
2023-11-02,4811
2023-11-03,2997
2023-11-04,1419
2023-11-05,770
2023-11-06,7789
2023-11-07,1530
2023-11-08,3768
2023-11-09,2022
2023-11-10,8562
2023-11-11,8169
2023-11-12,5766
2023-11-13,1703
2023-11-14,1682
2023-11-15,7918
2023-11-16,10045
2023-11-17,7530
2023-11-18,4031
2023-11-19,992
2023-11-20,4365
2023-11-21,5540
2023-11-22,4863
2023-11-23,2587
2023-11-24,6354
2023-11-25,5107
2023-11-26,3266
2023-11-27,4438
2023-11-28,4317
2023-11-29,10273
2023-11-30,5750
2023-12-01,1131
2023-12-02,1583
2023-12-03,4686
2023-12-04,910
2023-12-05,4081
2023-12-06,2320
2023-12-07,3657
2023-12-08,1081
2023-12-09,2643
2023-12-10,4869
2023-12-11,2508
2023-12-12,3527
2023-12-13,2949
2023-12-14,5455
2023-12-15,16332
2023-12-16,13894
2023-12-17,14512
2023-12-18,1779
2023-12-19,4268
2023-12-20,3446
2023-12-21,2956
2023-12-22,1859
2023-12-23,4811
2023-12-24,10982
2023-12-25,4202
2023-12-26,2632
2023-12-27,2104
2023-12-28,1434
2023-12-29,7464
2023-12-30,9473
2023-12-31,9779
2024-01-01,6951
2024-01-02,7196
2024-01-03,2443
2024-01-04,7641
2024-01-05,4265
2024-01-06,5893
2024-01-07,1021
2024-01-08,2114
2024-06-30,372
2024-07-01,3965
2024-07-02,3781
2024-07-03,3070
2024-07-04,2795
2024-07-05,698
2024-07-06,14731
2024-07-07,1183
2024-07-08,8232
2024-07-09,4889
2024-07-10,911
2024-07-11,2890
2024-07-12,5261
2024-07-13,4545
2024-07-14,3159
2024-07-15,11635
2024-07-16,4151
2024-07-17,4730
2024-07-18,4292
2024-07-19,4726
2024-07-20,4779
2024-07-21,4962
2024-07-22,8063
2024-07-23,5705
2024-07-24,2464
2024-07-25,8578
2024-07-26,7542
2024-07-27,2919
2024-07-28,12316
2024-07-29,2408
2024-07-30,7060
2024-07-31,2649
2024-08-01,6909
2024-08-02,3577
2024-08-03,7567
2024-08-04,1386
2024-08-05,438
2024-08-06,7536
2024-08-07,12653
2024-08-08,5714
2024-08-09,8206
2024-08-10,3996
2024-08-11,1307
2024-08-12,5075
2024-08-13,8244
2024-08-14,5057
2024-08-15,5427
2024-08-16,1451
2024-08-17,1447
2024-08-18,3082
2024-08-19,1047
2024-08-20,6534
2024-08-21,3002
2024-08-22,4475
2024-08-23,6918
2024-08-24,7622
2024-08-25,3143
2024-08-26,4706
2024-08-27,7967
2024-08-28,11955
2024-08-29,1176
2024-08-30,6160
2024-08-31,11806
2024-09-01,2555
2024-09-02,1759
2024-09-03,3536
2024-09-04,1730
2024-09-05,5481
2024-09-06,372
2024-09-07,7873
2024-09-08,944
2024-09-09,5275
2024-09-10,6856
2024-09-11,6714
2024-09-12,4406
2024-09-13,4412
2024-09-14,7991
2024-09-15,22305
2024-09-16,5117
2024-09-17,9518
2024-09-18,12186
2024-09-19,7772
2024-09-20,1676
2024-09-21,9396
2024-09-22,5298
2024-09-23,1359
2024-09-24,5694
2024-09-25,3947
2024-09-26,5144
2024-09-27,8960
2024-09-28,11224
2024-09-29,4618
2024-09-30,1811
2024-10-01,6503
2024-10-02,10173
2024-10-03,3971
2024-10-04,2488
2024-10-05,1450
2024-10-06,2003
2024-10-07,8434
2024-10-08,7471
2024-10-09,7838
2024-10-10,11104
2024-10-11,5234
2024-10-12,5632
2024-10-13,3040
2024-10-14,5683
2024-10-15,15764
2024-10-16,2372
2024-10-17,3988
2024-10-18,6481
2024-10-19,9505
2024-10-20,4446
2024-10-21,8680
2024-10-22,7766
2024-10-23,771
2024-10-24,6919
2024-10-25,4576
2024-10-26,5465
2024-10-27,7797
2024-10-28,3032
2024-10-29,8013
2024-10-30,4432
2024-10-31,17623
2024-11-01,15702
2024-11-02,25339
2024-11-03,31202
2024-11-04,4398
2024-11-05,672
2024-11-06,695
2024-11-07,1033
2024-11-08,1713
2024-11-09,1196
2024-11-10,1886
2024-11-11,4360
2024-11-12,746
2024-11-13,1540
2024-11-14,7652
2024-11-15,6533
2024-11-16,4632
2024-11-17,4370
2024-11-18,4948
2024-11-19,6440
2024-11-20,6362
2024-11-21,4603
2024-11-22,7350
2024-11-23,1503
2024-11-24,6621
2024-11-25,4666
2024-11-26,3074
2024-11-27,2396
2024-11-28,10117
2024-11-29,3177
2024-11-30,6722
2024-12-01,11144
2024-12-02,8993
2024-12-03,3116
2024-12-04,822
2024-12-05,15870
2024-12-06,25689
2024-12-07,17649
2024-12-08,6149
2024-12-09,4436
2024-12-10,2365
2024-12-11,10202
2024-12-12,1395
2024-12-13,12837
2024-12-14,6087
2024-12-15,1207
2024-12-16,3994
2024-12-17,3278
2024-12-18,2547
2024-12-19,11445
2024-12-20,4245
2024-12-21,8528
2024-12-22,5828
2024-12-23,7334
2024-12-24,2028
2024-12-25,9169
2024-12-26,4681
2024-12-27,3270
2024-12-28,326
2024-12-29,4263
2024-12-30,4841
2024-12-31,8237
2025-01-01,3940
2025-01-02,10333
2025-01-03,1231
2025-01-04,2602
2025-01-05,5590
2025-01-06,7944
2025-01-07,1236
2025-01-08,11050
2025-01-09,3804
2025-01-10,3457
2025-01-11,3183
2025-01-12,4744
2025-01-13,1320
2025-01-14,5971
2025-01-15,2466
2025-01-16,14919
2025-01-17,12222
2025-01-18,3041
2025-01-19,6482
2025-01-20,5641
2025-01-21,626
2025-01-22,1229
2025-01-23,1335
2025-01-24,1431
2025-01-25,1200
2025-01-26,3849
2025-01-27,5360
2025-01-28,1105
2025-01-29,1934
2025-01-30,1283
2025-01-31,3553
2025-02-01,4211
2025-02-02,2268
2025-02-03,844
2025-02-04,3336
2025-02-05,7956
2025-02-06,4990
2025-02-07,6740
2025-02-08,17718
2025-02-09,7509
2025-02-10,14861
2025-02-11,27388
2025-02-12,19084
2025-02-13,11810
2025-02-14,17709
2025-02-15,9877
2025-02-16,10702
2025-02-17,9487
2025-02-18,17296
2025-02-19,9702
